Date,Open,High,Low,Close,Adj Close,Volume
2020-09-02,84.480003,87.209999,84.269997,86.930000,84.880348,11041600
2020-09-03,87.690002,87.800003,84.940002,85.489998,83.474304,12389000
2020-09-04,85.550003,86.889999,84.250000,85.239998,83.230202,8931000
2020-09-08,85.940002,85.940002,83.000000,83.330002,81.365234,8679000
2020-09-09,83.769997,85.820000,83.660004,84.879997,82.878685,8456400
2020-09-10,84.730003,84.879997,83.279999,83.570000,81.599579,6591200
2020-09-11,83.839996,84.879997,83.779999,84.480003,82.488121,6842800
2020-09-14,84.199997,85.099998,83.730003,84.160004,82.773346,8183200
2020-09-15,84.730003,85.169998,83.650002,84.209999,82.822517,10330800
2020-09-16,84.500000,86.099998,84.500000,85.570000,84.160110,9904800
2020-09-17,85.379997,85.769997,84.449997,85.639999,84.228958,7719900
2020-09-18,85.570000,86.300003,84.940002,85.809998,84.396149,11744700
2020-09-21,84.919998,85.339996,82.089996,83.129997,81.760315,9966900
2020-09-22,83.099998,83.570000,82.199997,82.940002,81.573448,7770200
2020-09-23,83.089996,83.820000,82.580002,82.629997,81.268547,6761300
2020-09-24,82.099998,83.480003,81.849998,83.150002,81.779984,7485000
2020-09-25,82.150002,83.239998,81.800003,82.930000,81.563606,6614600
2020-09-28,83.199997,83.699997,82.559998,82.760002,81.396416,5843200
2020-09-29,82.680000,83.150002,81.699997,81.900002,80.550583,6433600
2020-09-30,82.260002,83.320000,82.019997,82.949997,81.583275,11062600
2020-10-01,83.180000,83.339996,81.250000,81.639999,80.294861,8025100
2020-10-02,80.800003,81.739998,80.449997,80.800003,79.468712,5014700
2020-10-05,81.230003,81.540001,80.620003,81.239998,79.901451,8403800
2020-10-06,81.129997,81.139999,79.519997,79.629997,78.317978,9802700
2020-10-07,80.089996,80.349998,79.510002,80.040001,78.721222,9394300
2020-10-08,80.389999,81.830002,80.160004,80.480003,79.153976,8795000
2020-10-09,80.879997,81.080002,80.050003,80.360001,79.035950,5683300
2020-10-12,80.510002,80.720001,79.910004,80.360001,79.035950,7897300
2020-10-13,80.300003,80.930000,80.040001,80.709999,79.380188,8707800
2020-10-14,80.849998,80.930000,80.070000,80.510002,79.183479,8747100
2020-10-15,79.800003,79.940002,78.779999,79.059998,77.757362,8732800
2020-10-16,79.300003,80.300003,79.110001,79.830002,78.514687,7541500
2020-10-19,80.120003,80.489998,78.330002,78.669998,77.373795,8219900
2020-10-20,78.970001,78.970001,78.080002,78.269997,76.980385,10634300
2020-10-21,78.260002,78.849998,78.029999,78.070000,76.783684,9246000
2020-10-22,78.099998,79.449997,78.099998,79.209999,77.904892,5797700
2020-10-23,79.260002,80.620003,79.260002,79.830002,78.514687,6974600
2020-10-26,79.330002,79.800003,78.260002,78.839996,77.540993,8705000
2020-10-27,78.930000,80.230003,77.989998,77.989998,76.704994,11680700
2020-10-28,77.129997,77.730003,76.019997,76.180000,74.924820,8578200
2020-10-29,76.169998,76.589996,74.669998,75.889999,74.639603,8887700
2020-10-30,75.379997,75.889999,73.940002,75.209999,73.970802,10588500
2020-11-02,76.449997,76.860001,75.639999,76.709999,75.446091,7772400
2020-11-03,77.470001,78.230003,76.760002,76.919998,75.652626,7341200
2020-11-04,79.940002,82.889999,79.540001,80.620003,79.291664,14056700
2020-11-05,82.059998,82.900002,80.440002,80.459999,79.134308,8852300
2020-11-06,79.449997,81.139999,79.449997,80.360001,79.035950,6627400
2020-11-09,84.779999,85.169998,80.349998,80.500000,79.173645,10671800
2020-11-10,81.779999,82.029999,81.010002,81.110001,79.773590,8200300
2020-11-11,81.870003,81.870003,80.589996,81.059998,79.724419,5478700
2020-11-12,80.550003,81.000000,79.029999,79.860001,78.544189,7122900
2020-11-13,80.239998,81.849998,79.720001,81.089996,79.753922,7341800
2020-11-16,81.230003,81.889999,79.699997,80.180000,78.858917,9068200
2020-11-17,81.059998,81.959999,80.410004,81.500000,80.157173,9073600
2020-11-18,81.430000,81.970001,80.230003,80.250000,78.927765,8280700
2020-11-19,80.769997,80.769997,79.330002,80.389999,79.065460,6714800
2020-11-20,80.470001,80.809998,79.730003,80.449997,79.124466,8030000
2020-11-23,80.610001,81.160004,79.379997,80.279999,78.957275,9063500
2020-11-24,80.019997,80.889999,79.669998,80.139999,78.819572,12205000
2020-11-25,80.139999,80.459999,79.599998,80.059998,78.740898,5747700
2020-11-27,80.300003,80.680000,79.559998,79.860001,78.544189,5386000
2020-11-30,80.000000,80.540001,79.410004,80.389999,79.065460,13837700
2020-12-01,80.949997,82.459999,80.820000,81.550003,80.206345,9701500
2020-12-02,81.940002,82.739998,81.290001,81.830002,80.481735,6837600
2020-12-03,81.940002,81.970001,80.820000,81.449997,80.107986,6760600
2020-12-04,81.139999,81.959999,81.110001,81.940002,80.589920,8255300
2020-12-07,82.059998,83.470001,82.050003,82.510002,81.150528,8424800
2020-12-08,82.290001,83.739998,82.260002,83.180000,81.809486,8268100
2020-12-09,83.820000,83.879997,82.540001,83.470001,82.094711,6840000
2020-12-10,83.660004,83.940002,82.720001,82.989998,81.622620,7012600
2020-12-11,82.849998,83.419998,82.519997,82.959999,81.593109,7613700
2020-12-14,82.629997,83.080002,80.040001,80.320000,79.620445,12537500
2020-12-15,80.500000,81.040001,80.000000,80.480003,79.779053,9626700
2020-12-16,80.279999,80.750000,79.650002,79.830002,79.134712,9053100
2020-12-17,80.389999,80.559998,79.680000,79.820000,79.124802,11173700
